state,type,date,staff,staff_normalized
Johor,all,01/01/2022,14634,348
Kedah,all,01/01/2022,10372,466
Kelantan,all,01/01/2022,12097,634
Melaka,all,01/01/2022,5624,535
Negeri Sembilan,all,01/01/2022,7248,583
Pahang,all,01/01/2022,9586,571
Perak,all,01/01/2022,13561,527
Perlis,all,01/01/2022,2116,712
Penang,all,01/01/2022,8192,454
Sabah,all,01/01/2022,16345,435
Sarawak,all,01/01/2022,13374,529
Selangor,all,01/01/2022,24009,324
Terengganu,all,01/01/2022,7438,597
Kuala Lumpur,all,01/01/2022,18941,913
Labuan,all,01/01/2022,601,601
Putrajaya,all,01/01/2022,3552,596


